id,Cultivar_Name,P,feature
543,Hwasambyeo,Iri389, 
544,Milky Princess,Kanto163, 
545,Milky Princess,Ko272, 
546,Mihyangbyeo,Iri392, 
547,Mihyangbyeo,Seomjin x Tohoku144, 
548,Miho,Hopum, 
549,Miho,Milky Princess, 
550,Manho,Shingeumobyeo, 
551,Manho,HR11299-B-B-52, 
552,Mangeumbyeo x Chukei830,Mangeumbyeo, 
553,Mangeumbyeo x Chukei830,Chukei830, 
554,Mangeumbyeo,Milyang71, 
555,Mangeumbyeo,Saikai PL1, 
556,Manbaek,Hopum,HOPUM*2
557,Manbaek,SR30075-2-1-21-2-2-1,HOPUM*2
558,Kyehwa26,HR14700, 
559,Kyehwa26,YR18009-Acp60, 
560,Guemobyeo,Akitsuho, 
561,Guemobyeo,Fuji269, 
562,Koshihikari x Seorakbyeo,Koshihikari, 
563,Koshihikari x Seorakbyeo,Seorakbyeo, 
564,Koshihikari x Dacheong,Koshihikari, 
565,Koshihikari x Dacheong,Dacheong, 
566,Koshihikari,Norin22, 
567,Koshihikari,Norin1, 
568,Kinumusume,Kinuhikari, 
569,Kinumusume,Matsubare, 
570,Kinuhikari,Hokuriku100, 
571,Kinuhikari,Shuu2800 x Hokuriku100, 
572,Kinki45 x Kinki11,Kinki45, 
573,Kinki45 x Kinki11,Kinki11, 
574,KGIR1,Senpidao, 
575,KGIR1,SACG4, 
576,Keunnun,Ilpumbyeo,ILPUM(MNU)MUTANT
577,Kanto154,Nipponbare, 
578,Kanto154,Basmati370, 
579,Jungmo1043,Joryeongbyeo, 
580,Jungmo1043,Seohyangchal, 
581,Jungmo1042,Namil,Mutant(Ethyl methanesulfonate)
582,Jungmo1040,Junam, (Suweon555)
583,Jungmo1040,Manho, (Suweon555)
584,Jungmo1037,Milyang175, 
585,Jungmo1037,Kanto170, 
586,Jungmo1036,YR22838 x Dasanbyeo, 
587,Jungmo1036,Hanareum, 
588,Jungmo1035,Hwanggeumnodeul, 
589,Jungmo1035,HR21050-B-50-1, 
590,Jungmo1034,Jungmo1006 x Nampyeongbyeo, 
591,Jungmo1034,Jungmo1006 x Junam, 
592,Jungmo1032,Nampyeongbyeo,NAMPYEONGBYEO*2
593,Jungmo1032,(Nampyeongbyeo x Aya),NAMPYEONGBYEO*2
594,Jungmo1031,Sangmibyeo, 
595,Jungmo1031,Unbong31, 
596,Jungmo1028,Hanareum, 
597,Jungmo1028,Dasanbyeo x YR18241-B-B-47-1 x YR18241-B-B-210-1, 
598,Jungmo1027,Miyakaori,  
599,Jungmo1027,Jinbuchalbyeo, 
600,Jungmo1026,Dongjin2,Iksan469*2
601,Jungmo1026,Iksan469,Iksan469*2
602,Jungmo1024,Namil,Mutant(Sodium azide)
603,Jungmo1006 x Nampyeongbyeo,Jungmo1006,NAMPYEONGBYEO*3
604,Jungmo1006 x Nampyeongbyeo,Nampyeongbyeo,NAMPYEONGBYEO*3
605,Jungmo1006 x Junam,Jungmo1006,Junam*3
606,Jungmo1006 x Junam,Junam,Junam*3
607,Jungmo1006,YR21556, 
608,Jungmo1006,Nakdongbyeo, 
609,Junghwabyeo,Daeseongbyeo, 
610,Junghwabyeo,YR6729, 
611,Junam x IR72,Junam, 
612,Junam x IR72,IR72, 
613,Jumambyeo,Hwayeongbyeo, 
614,Jumambyeo,Sangjubyeo x Ilpumbyeo, 
615,Juanbyeo,Koshihikari x Seorakbyeo, 
616,Juanbyeo,Samnambyeo, 
617,JR1-2-7-2-2,Heugnambyeo, 
618,JR1-2-7-2-2,Milyang153, 
619,Jowoo,Mogwoo, 
620,Jowoo,Gayabyeo, 
621,Josaengheugchal,Tohoku149, 
622,Josaengheugchal,Sx864, 
623,Joryeongbyeo,YR6978, 
624,Joryeongbyeo,Milyang79, 
625,Jopum,Cheolweon60, (Cheolweon88)
626,Jopum,Daejinbyeo, (Cheolweon88)
627,Jonong,Binhae#1, 
628,Jonong,Deuraechan, 
629,Joil,Unmi, 
630,Joil,HR23156, 
631,Jinseolchal,Jinbuchalbyeo, 
632,Jinseolchal,Jinbu22, 
633,Jinok,Taebong, 
634,Jinok,Unbong31, 
635,Jinmibyeo,Inabawase, 
636,Jinmibyeo,SR4084, 
637,Jinkwang,Hopum, 
638,Jinkwang,Unkwang x Koshihikari, 
639,Jinheung,Norin13, 
640,Jinheung,Ssangyeop, 
641,Jinhan,Cheolweon68, 
642,Jinhan,Junghwabyeo, 
643,Jinbuolbyeo,Oumochi296 x Ishikaris1, 
644,Jinbuolbyeo,Kami Ikumochi38, 
645,Jinbuchalbyeo,SR4085 x Todorokiwase,IR262*2
646,Jinbuchalbyeo,Wasetoramochi,IR262*2
647,Jinbubyeo,Hukuhikari, 
648,Jinbubyeo,Hokuriku109, 
649,Jinbu48,Jinbu31, 
650,Jinbu48,Gyodong23, 
651,Jinbu31,Suweon329, 
652,Jinbu31,Jinbuolbyeo, 
653,Jinbu22,SR10119-147-1-1, 
654,Jinbu22,Wx2296-1Sa-Sa-B, 
655,Jinbu19,SR10119-182-2-4, 
656,Jinbu19,SR13683-210, 
657,Jinbo,Haepyeong, 
658,Jinbo,Koshihikari, 
659,Jinbaek,Gangbaek, 
660,Jinbaek,Junam x Sindongjin, 
661,Jeonnam3,Koshihikari, 
662,Jeonnam3,Onnuri, 
663,Jeonju603,Heughyang, 
664,Jeonju603,SR30075-1-12-1-1-6-1-1 x Hopum*3, 
665,Jeonbuk5,JR1-2-7-2-2, 
666,Jeonbuk5,Heughyang, 
667,Jeogjinju2,620209, 
668,Jeogjinju2,HONGJINJU, 
669,IS592BB,Unkwang, 
670,IS592BB,HR28021, 
671,Irumi,Boramchan, 
672,Irumi,Deuraechan x YR28322, 
673,Iri417,Milyang95, 
674,Iri417,Hwayeongbyeo, 
675,Iri412,Gyehwa8, 
676,Iri412,Sanghaehyanghyeola, 
677,Hwasinbyeo,Mangeumbyeo, 
678,Hwasinbyeo,Milyang110, 
679,Mangeumbyeo,Milyang71, 
680,Mangeumbyeo,Skikai PL1, 
681,Iri389,Seomjin, 
682,Iri389,Dongjinbyeo x HR1590, 
683,Iri380 x Milyang95,Iri380, 
684,Iri380 x Milyang95,Milyang95, 
685,Iri369,Nagdongbyeo, 
686,Iri369,Seohae159, 
687,Sinseonchalbyeo,Milyang20, 
688,Sinseonchalbyeo,Hiyokumochi, 
689,IRBB57,IRBB5, 
690,IRBB57,IRBB4 x IRBB21, 
691,IRBB4 x IRBB21,IRBB4, 
692,IRBB4 x IRBB21,IRBB21, 
693,IR8866 x Milyang29,IR8866, 
694,IR8866 x Milyang29,Milyang29, 
695,IR841-76-1,IR262, 
696,IR841-76-1,KDM105, 
697,IR8 x Fujiminori,IR8, 
698,IR8 x Fujiminori,Fujiminori, 
699,IR77863-95-2-3,YR17082-R-R-B-4-2, 
700,IR77863-95-2-3,HR15490-34, 
701,IR72225-29-1-1,IR66750-6-2-1, 
702,IR72225-29-1-1,IR69092-60-2, 
703,IR71667-19-4-2-4,Jinmibyeo, 
704,IR71667-19-4-2-4,IR71121, 
705,IR71121,Jinmibyeo, 
706,IR71121,IR65564-44-23, 
707,IR71033-121-15,IR31917-45-3-2,IR31917-45-3-2*3
708,IR71033-121-15,O. Minuta,IR31917-45-3-2*3
709,IR69092-60-2,IR65600-1-2-3, 
710,IR69092-60-2,GUNDIL KUNING, (Indonesia)
711,IR66750-6-2-1,SHEN NUNG 89-366, 
712,IR66750-6-2-1,SRI KUNING, (Indonesia)
713,IR65600-1-2-3,SHEN NUNG 89-366, 
714,IR65600-1-2-3,KETAN LUMBU, (Indonesia)
715,IR65482-4-136-2-2,IR31917-45-3-2,IR31917-45-3-2*3
716,IR65482-4-136-2-2,O. austratiensis,IR31917-45-3-2*3
717,IR50 x YR22791,IR50, 
718,IR50 x YR22791,YR22791, 
719,IR24,IR8, 
720,IR24,IR127, 
721,IR1317,Jinheung, 
722,IR1317,IR262, 
723,Inabawase,Koshihikari, 
724,Inabawase,Tarehonami, 
725,Ilpumbyeo x Sinseonchalbyeo,Ilpumbyeo, 
726,Ilpumbyeo x Sinseonchalbyeo,Sinseonchalbyeo, 
727,Ilpumbyeo x Shinkwang,Ilpumbyeo, 
728,Ilpumbyeo x Shinkwang,Shinkwang, 
729,Ilpumbyeo x Kimcheonangmi,Ilpumbyeo, 
730,Ilpumbyeo x Kimcheonangmi,Kimcheonangmi, 
731,Ilpumbyeo,Suweon295-SV3, 
732,Ilpumbyeo,Inabawase, 
733,Ilmibyeo,Milyang95 x Seomjinbyeo, 
734,Ilmibyeo,Milyang96, 
735,Iljin,Gudaenaejoseonguk3, 
736,Iljin,Eunbangju, 
737,Iksan590,HR24787-26-5-2,HR24787-26-5-2*2
738,Iksan590,Hopum,HR24787-26-5-2*2
739,Iksan559,Unkwang, 
740,Iksan559,Nunbora, 
741,Iksan555,Iksan496, 
742,Iksan555,Milyang172, 
743,Anbaek,Jinbaek, 
744,Anbaek,Yeongdeog44 x Cheongho, 
745,Haepum,Dacheong x Iksan496, 
746,Haepum,Jinbaek, 
747,Iksan496,(Sindongjin x Sangju13) x Seomjinbyeo, 
748,Iksan496,Junam, 
749,Dacheong x Iksan496,Dacheong, 
750,Dacheong x Iksan496,Iksan496, 
751,Dacheong,Daepyeong, 
752,Dacheong,YR21258-GH3, 
753,Jinbaek,HR15204-38-3, 
754,Jinbaek,Junam x Sindongjin, 
755,Hwanggeumnodeul,Junam, 
756,Hwanggeumnodeul,HR15151, 
757,Nunbora,Iksan433, 
758,Nunbora,Miyatamamochi, 
759,Dongjin2 x Iksan469,Dongjin2, 
760,Dongjin2 x Iksan469,Iksan469, 
761,Dongjin2,Junam, 
762,Dongjin2,(HR14018-B-1-1 x Sobi) x Sindongjin, 
763,Iksan469,Junam, 
764,Iksan469,HR14732-B-67-2-3, 
765,Iksan457 x SR21097-B-B-19-2-2,Iksan457, 
766,Iksan457 x SR21097-B-B-19-2-2,SR21097-B-B-19-2-2, 
767,Iksan457,Sindongjin, 
768,Iksan457,HR15003-69-B-3, 
769,Iksan456 x SR21097-B-B-19-2-2,Iksan456, 
770,Iksan456 x SR21097-B-B-19-2-2,SR21097-B-B-19-2-2, 
771,Iksan456,Sindongjin, 
772,Iksan456,HR15003-69-B-3, 
773,Daepyeong,HR14028-AC5, 
774,Daepyeong,Ilmibyeo, 
775,Sindongjin x Junghwabyeo,Sindongjin, 
776,Sindongjin x Junghwabyeo,Junghwabyeo, 
777,Sindongjin x Sangju13,Sindongjin, 
778,Sindongjin x Sangju13,Sangju13, 
779,Sindongjin x (HR14018-B-1-1 x Sobi),Sindongjin, 
780,Sindongjin x (HR14018-B-1-1 x Sobi),HR14018-B-1-1 x Sobi,  
781,Iksan433,Hwasambyeo, 
782,Iksan433,Hyangnambyeo, 
783,Iksan429,Milyang95, 
784,Iksan429,Ilpumbyeo x Iri396, 
785,Hyeonpum,Iksan469, 
786,Hyeonpum,Sindongjin x Musashino7, 
787,Hyangmibyeo2,IR841-76-1, 
788,Hyangmibyeo2,Suweon334, 
789,Hwayeongbyeo x Sangjubyeo,Hwayeongbyeo, 
790,Hwayeongbyeo x Sangjubyeo,Sangjubyeo, 
791,Hwayeongbyeo x Iksan429,Hwayeongbyeo, 
792,Hwayeongbyeo x Iksan429,Iksan429, 
793,Hwayeongbyeo,Chukei830, 
794,Hwayeongbyeo,YR4811-Acp8, 
795,Hwawang,(YR21247-B-B-B-49-1 x Sasanishiki BL4) x Akidagomachi, 
796,Hwawang,(YR21247-B-B-B-49-1 x Sasanishiki BL4) x Hitomebore, 
797,Hwaseongbyeo,Aichi37, 
798,Hwaseongbyeo,Samnambyeo, 
799,Hwasambyeo,Hwayeongbyeo, 
800,Hwasambyeo,Iri389, 
801,Hwacheongbyeo,Suweon298, 
